URL,英語タイトル,講演者,投稿済み
https://www.ted.com/talks/manoush_zomorodi_sitting_all_day_is_killing_you_here_s_what_to_do_about_it,Sitting all day is killing you — here's what to do about it,Manoush Zomorodi,○
https://www.ted.com/talks/partyof2_feel_love_poser,"""FEEL LOVE"" / ""POSER"" PARTYOF2",Partyof2 Feel,
https://www.ted.com/talks/catherine_nakalembe_why_can_t_we_better_prepare_for_extreme_weather,Why can't we better prepare for extreme weather?,Catherine Nakalembe,
https://www.ted.com/talks/charlene_kaye_how_to_become_a_k_pop_superstar_in_7_minutes,How to become a K-pop superstar — in 7 minutes,Charlene Kaye,
https://www.ted.com/talks/christine_johnston_what_causes_herpes_and_how_can_you_treat_it,"What causes herpes, and how can you treat it?",Christine Johnston,
https://www.ted.com/talks/louis_vi_the_language_you_re_fluent_in_but_forgot_how_to_hear,The language you're fluent in — but forgot how to hear Louis VI,Louis Vi,
https://www.ted.com/talks/chris_musser_what_happened_when_i_started_scoring_my_life_every_day,What happened when I started scoring my life every day,Chris Musser,○
https://www.ted.com/talks/llion_jones_how_competition_is_stifling_ai_breakthroughs,How competition is stifling AI breakthroughs,Llion Jones,
https://www.ted.com/talks/joseph_mbele_the_boy_who_defeated_the_god_of_the_underworld,The boy who defeated the god of the underworld,Joseph Mbele,
https://www.ted.com/talks/tom_sullam_the_award_for_best_comedy_wildlife_photo_goes_to,The award for best comedy wildlife photo goes to...,Tom Sullam,
https://www.ted.com/talks/wolfgang_schnellbaecher_are_you_spending_your_money_wisely,Are you spending your money wisely?,Wolfgang Schnellbaecher,○
https://www.ted.com/talks/cindy_taff_how_to_power_the_world_24_7_without_oil,How to power the world 24/7 — without oil,Cindy Taff,
https://www.ted.com/talks/riddhima_yadav_the_purity_test_that_s_killing_clean_energy,The purity test that's killing clean energy,Riddhima Yadav,
https://www.ted.com/talks/jane_marie_chen_what_losing_everything_taught_me_about_resilience,What losing everything taught me about resilience,Jane Marie Chen,
https://www.ted.com/talks/kathryn_hecht_how_to_raise_kids_who_can_handle_hard_things,How to raise kids who can handle hard things,Kathryn Hecht,
https://www.ted.com/talks/michael_vazquez_and_sarah_stroud_the_infamous_jojo_thought_experiment,The infamous JoJo thought experimentMichael Vazquez and Sarah,Michael Vazquez And Sarah Stroud,
https://www.ted.com/talks/alvin_w_graylin_manoush_zomorodi_3_possible_futures_for_ai_which_will_we_choose,"3 possible futures for AI — which will we choose?Alvin W. Graylin, Manoush",Alvin W Graylin Manoush Zomorodi,
https://www.ted.com/talks/yi_li_the_missing_piece_in_climate_action_it_s_not_what_you_think,The missing piece in climate action (it's not what you think),Yi Li,
https://www.ted.com/talks/meghan_sullivan_would_you_take_a_pill_that_made_you_love_everyone,Would you take a pill that made you love everyone?,Meghan Sullivan,
https://www.ted.com/talks/malay_bera_kiranmala_the_tale_of_the_princess_who_conquered_magic_mountain,Kiranmala: The tale of the princess who conquered Magic MountainMalay Bera,Malay Bera Kiranmala,
https://www.ted.com/talks/brian_mclean_the_art_and_science_of_stop_motion_animation,The art (and science) of stop-motion animationBrian McLean,Brian Mclean,
https://www.ted.com/talks/philip_johnston_let_s_build_ai_data_centers_in_space,Let's build AI data centers in space,Philip Johnston,
https://www.ted.com/talks/alex_rosenthal_can_you_picture_things_in_your_mind_i_can_t,Can you picture things in your mind? I can't,Alex Rosenthal,
https://www.ted.com/talks/christopher_baird_will_laser_blasters_ever_be_possible,Will laser blasters ever be possible?,Christopher Baird,
https://www.ted.com/talks/khaya_dlanga_what_gets_lost_when_we_treat_conversations_like_transactions,What gets lost when we treat conversations like transactions,Khaya Dlanga,
https://www.ted.com/talks/stephanie_honchell_smith_upstairs_downstairs_the_life_of_a_british_maid,"Upstairs, downstairs: The life of a British maidStephanie Honchell Smith",Stephanie Honchell Smith Upstairs Downstairs,
https://www.ted.com/talks/qahir_dhanani_is_inviting_everyone_to_the_meeting_holding_back_global_cooperation,Is inviting everyone to the meeting holding back global cooperation?,Qahir Dhanani,
https://www.ted.com/talks/rebecca_okamoto_how_to_introduce_yourself_and_get_hired,How to introduce yourself — and get hired,Rebecca Okamoto,
https://www.ted.com/talks/ian_bremmer_the_biggest_global_risks_for_2026,The biggest global risks for 2026,Ian Bremmer,
https://www.ted.com/talks/roman_krznaric_how_japan_saved_its_biggest_city_from_collapse,How Japan saved its biggest city from collapse,Roman Krznaric,
https://www.ted.com/talks/pico_iyer_silence_the_universal_medicine,"Silence, the universal medicine",Pico Iyer,
https://www.ted.com/talks/tariq_al_olaimy_the_spiritual_wisdom_we_need_for_a_planet_in_crisis,The spiritual wisdom we need for a planet in crisisTariq,Tariq Al Olaimy,
https://www.ted.com/talks/priya_lakhani_this_is_how_kids_should_be_learning_with_ai,This is how kids should be learning with AI,Priya Lakhani,
https://www.ted.com/talks/hannah_storm_anthony_calhoun_on_courage_comebacks_and_redefining_resilience,"On courage, comebacks and redefining resilienceHannah Storm, Anthony",Hannah Storm Anthony Calhoun,
https://www.ted.com/talks/amen_ra_mashariki_and_manoush_zomorodi_how_to_make_ai_a_force_for_good_in_climate,How to make AI a force for good in climateAmen Ra Mashariki and Manoush,Amen Ra Mashariki And Manoush Zomorodi,
https://www.ted.com/talks/stephanie_honchell_smith_was_alexander_the_great_really_that_great,Was Alexander the Great really that great?Stephanie Honchell Smith,Stephanie Honchell Smith Was Alexander,
https://www.ted.com/talks/adam_aleksic_why_are_people_starting_to_sound_like_chatgpt,Why are people starting to sound like ChatGPT?,Adam Aleksic,
https://www.ted.com/talks/rhaina_cohen_the_case_for_spending_more_time_with_your_friends,The case for spending more time with your friends,Rhaina Cohen,
https://www.ted.com/talks/gary_hustwit_this_movie_changes_every_time_you_watch_it,This movie changes every time you watch it,Gary Hustwit,
